Pedido,Cliente,NoCliente,Creacion,FechaPedido,Estatus,Total,Vendedor,Codigo,Descripcion,Categoria,Cantidad,Precio,Sucursal,Credito,DireccionCliente,Comentarios,Peso,Facturación,Pendiente,OC,VendedorAsignado
1030,INSTITUTO ESTATAL DE LA CULTURA ,1200,29/06/2023,29/06/2023,Activo,10610.8700,Yolanda Ramírez Arredondo,QUI72,,QUIMICOS,1.000000,152.90000000,Matriz,0.0000,Col. Guanajuato Cemntr - Guanajuato - Guanajuato,INVITACION: 208470,0,24/07/2023,1.000000,,
1030,INSTITUTO ESTATAL DE LA CULTURA ,1200,29/06/2023,29/06/2023,Activo,10610.8700,Yolanda Ramírez Arredondo,QUI19,,QUIMICOS,50.000000,13.25000000,Matriz,0.0000,Col. Guanajuato Cemntr - Guanajuato - Guanajuato,INVITACION: 208470,0,24/07/2023,50.000000,,
1030,INSTITUTO ESTATAL DE LA CULTURA ,1200,29/06/2023,29/06/2023,Activo,10610.8700,Yolanda Ramírez Arredondo,QUI55,,QUIMICOS,40.000000,7.00000000,Matriz,0.0000,Col. Guanajuato Cemntr - Guanajuato - Guanajuato,INVITACION: 208470,0,24/07/2023,40.000000,,
1030,INSTITUTO ESTATAL DE LA CULTURA ,1200,29/06/2023,29/06/2023,Activo,10610.8700,Yolanda Ramírez Arredondo,QUI59,,QUIMICOS,20.000000,10.50000000,Matriz,0.0000,Col. Guanajuato Cemntr - Guanajuato - Guanajuato,INVITACION: 208470,0,24/07/2023,20.000000,,
1030,INSTITUTO ESTATAL DE LA CULTURA ,1200,29/06/2023,29/06/2023,Activo,10610.8700,Yolanda Ramírez Arredondo,JAR66,,JARCIERIA,2.000000,13.20000000,Matriz,0.0000,Col. Guanajuato Cemntr - Guanajuato - Guanajuato,INVITACION: 208470,0,24/07/2023,2.000000,,
1030,INSTITUTO ESTATAL DE LA CULTURA ,1200,29/06/2023,29/06/2023,Activo,10610.8700,Yolanda Ramírez Arredondo,QUI34,,QUIMICOS-> ,100.000000,28.62000000,Matriz,0.0000,Col. Guanajuato Cemntr - Guanajuato - Guanajuato,INVITACION: 208470,0,24/07/2023,100.000000,,
1030,INSTITUTO ESTATAL DE LA CULTURA ,1200,29/06/2023,29/06/2023,Activo,10610.8700,Yolanda Ramírez Arredondo,QUI34,,QUIMICOS-> ,20.000000,28.62000000,Matriz,0.0000,Col. Guanajuato Cemntr - Guanajuato - Guanajuato,INVITACION: 208470,0,24/07/2023,100.000000,,
1030,INSTITUTO ESTATAL DE LA CULTURA ,1200,29/06/2023,29/06/2023,Activo,10610.8700,Yolanda Ramírez Arredondo,JAR74,,JARCIERIA-> ,5.000000,9.90000000,Matriz,0.0000,Col. Guanajuato Cemntr - Guanajuato - Guanajuato,INVITACION: 208470,0,24/07/2023,5.000000,,
1030,INSTITUTO ESTATAL DE LA CULTURA ,1200,29/06/2023,29/06/2023,Activo,10610.8700,Yolanda Ramírez Arredondo,JAR2,ATOMIZADOR DE PLASTICO USO RUDO 1 LT,JARCIERIA,2.000000,15.00000000,Matriz,0.0000,Col. Guanajuato Cemntr - Guanajuato - Guanajuato,INVITACION: 208470,0,24/07/2023,2.000000,,
1030,INSTITUTO ESTATAL DE LA CULTURA ,1200,29/06/2023,29/06/2023,Activo,10610.8700,Yolanda Ramírez Arredondo,QUI13,,QUIMICOS,100.000000,19.00000000,Matriz,0.0000,Col. Guanajuato Cemntr - Guanajuato - Guanajuato,INVITACION: 208470,0,24/07/2023,100.000000,,
1030,INSTITUTO ESTATAL DE LA CULTURA ,1200,29/06/2023,29/06/2023,Activo,10610.8700,Yolanda Ramírez Arredondo,QUI59,,QUIMICOS,120.000000,10.50000000,Matriz,0.0000,Col. Guanajuato Cemntr - Guanajuato - Guanajuato,INVITACION: 208470,0,24/07/2023,20.000000,,
1030,INSTITUTO ESTATAL DE LA CULTURA ,1200,29/06/2023,29/06/2023,Activo,10610.8700,Yolanda Ramírez Arredondo,QUI34,,QUIMICOS-> ,5.000000,28.62000000,Matriz,0.0000,Col. Guanajuato Cemntr - Guanajuato - Guanajuato,INVITACION: 208470,0,24/07/2023,100.000000,,
1030,INSTITUTO ESTATAL DE LA CULTURA ,1200,29/06/2023,29/06/2023,Activo,10610.8700,Yolanda Ramírez Arredondo,QUI78,,QUIMICOS,30.000000,13.70000000,Matriz,0.0000,Col. Guanajuato Cemntr - Guanajuato - Guanajuato,INVITACION: 208470,0,24/07/2023,30.000000,,
1030,INSTITUTO ESTATAL DE LA CULTURA ,1200,29/06/2023,29/06/2023,Activo,10610.8700,Yolanda Ramírez Arredondo,QUI55,,QUIMICOS,50.000000,9.80000000,Matriz,0.0000,Col. Guanajuato Cemntr - Guanajuato - Guanajuato,INVITACION: 208470,0,24/07/2023,40.000000,,
1030,INSTITUTO ESTATAL DE LA CULTURA ,1200,29/06/2023,29/06/2023,Activo,10610.8700,Yolanda Ramírez Arredondo,BTA30,,BOLSA,1.000000,32.50000000,Matriz,0.0000,Col. Guanajuato Cemntr - Guanajuato - Guanajuato,INVITACION: 208470,0,24/07/2023,1.000000,,
1030,INSTITUTO ESTATAL DE LA CULTURA ,1200,29/06/2023,29/06/2023,Activo,10610.8700,Yolanda Ramírez Arredondo,BN60,,BOLSA,2.000000,32.50000000,Matriz,0.0000,Col. Guanajuato Cemntr - Guanajuato - Guanajuato,INVITACION: 208470,0,24/07/2023,2.000000,,
1038,GOBIERNO DEL ESTADO DE GUANAJUATO,1004,05/10/2023,04/07/2023,Activo,21296.6700,YOLANDA RAMIREZ ,JAR74,,JARCIERIA-> ,27.000000,9.90000000,Matriz,0.0000,Col. GUANAJUATO CENTRO - Guanajuato - Guanajuato,SECRETARIA DE FINANZAS Y ADMINISTRACION INVITACION: 207871,0,05/10/2023,200.000000,,
1038,GOBIERNO DEL ESTADO DE GUANAJUATO,1004,05/10/2023,04/07/2023,Activo,21296.6700,YOLANDA RAMIREZ ,QUI55,,QUIMICOS,10.000000,120.00000000,Matriz,0.0000,Col. GUANAJUATO CENTRO - Guanajuato - Guanajuato,SECRETARIA DE FINANZAS Y ADMINISTRACION INVITACION: 207871,0,05/10/2023,10.000000,,
1038,GOBIERNO DEL ESTADO DE GUANAJUATO,1004,05/10/2023,04/07/2023,Activo,21296.6700,YOLANDA RAMIREZ ,QUI30,,QUIMICOS,30.000000,7.73000000,Matriz,0.0000,Col. GUANAJUATO CENTRO - Guanajuato - Guanajuato,SECRETARIA DE FINANZAS Y ADMINISTRACION INVITACION: 207871,0,05/10/2023,100.000000,,
1038,GOBIERNO DEL ESTADO DE GUANAJUATO,1004,05/10/2023,04/07/2023,Activo,21296.6700,YOLANDA RAMIREZ ,QUI64,,QUIMICOS,100.000000,13.50000000,Matriz,0.0000,Col. GUANAJUATO CENTRO - Guanajuato - Guanajuato,SECRETARIA DE FINANZAS Y ADMINISTRACION INVITACION: 207871,0,05/10/2023,100.000000,,
1038,GOBIERNO DEL ESTADO DE GUANAJUATO,1004,05/10/2023,04/07/2023,Activo,21296.6700,YOLANDA RAMIREZ ,QUI65,,QUIMICOS,30.000000,45.50000000,Matriz,0.0000,Col. GUANAJUATO CENTRO - Guanajuato - Guanajuato,SECRETARIA DE FINANZAS Y ADMINISTRACION INVITACION: 207871,0,05/10/2023,30.000000,,
1038,GOBIERNO DEL ESTADO DE GUANAJUATO,1004,05/10/2023,04/07/2023,Activo,21296.6700,YOLANDA RAMIREZ ,JAR76,,JARCIERIA,100.000000,23.80000000,Matriz,0.0000,Col. GUANAJUATO CENTRO - Guanajuato - Guanajuato,SECRETARIA DE FINANZAS Y ADMINISTRACION INVITACION: 207871,0,05/10/2023,50.000000,,
1038,GOBIERNO DEL ESTADO DE GUANAJUATO,1004,05/10/2023,04/07/2023,Activo,21296.6700,YOLANDA RAMIREZ ,JAR43,,JARCIERIA,30.000000,11.00000000,Matriz,0.0000,Col. GUANAJUATO CENTRO - Guanajuato - Guanajuato,SECRETARIA DE FINANZAS Y ADMINISTRACION INVITACION: 207871,0,05/10/2023,400.000000,,
